Stock,Entry_Date,Price_3Mo_Ago,Price_Today,Strategy_Return_%,Above_50SMA_At_Entry
HTMEDIA,2026-04-08,23.85,24.54,2.89,YES
KOTHARIPRO,2026-04-10,67.96,69.8,2.71,YES
LT,2026-04-10,3921.6,4026.6,2.68,YES
DHAMPURSUG,2026-04-10,139.23,142.86,2.61,YES
SAIL,2026-04-10,166.02,169.88,2.33,YES
KOHINOOR,2026-04-09,24.2,24.75,2.27,YES
MUKANDLTD,2026-04-10,130.3,132.99,2.06,YES
TATACHEM,2026-04-10,679.45,693.1,2.01,YES
TTML,2026-04-10,41.94,42.77,1.98,YES
ITI,2026-04-10,292.46,297.95,1.88,YES
ABB,2026-04-10,6831.56,6950.5,1.74,YES
ATUL,2026-04-10,6450.0,6556.5,1.65,YES
OMINFRAL,2026-04-09,89.65,90.98,1.48,YES
JKPAPER,2026-04-09,344.55,348.95,1.28,YES
DCBBANK,2026-04-10,186.94,189.27,1.25,YES
STERTOOLS,2026-04-08,241.6,244.58,1.23,YES
KSCL,2026-04-09,908.7,919.2,1.16,YES
BOROLTD,2026-04-09,242.68,245.27,1.07,YES
KESORAMIND,2026-04-09,10.93,11.0,0.64,YES
BAJAJHIND,2026-04-10,17.77,17.88,0.62,YES
SJVN,2026-04-10,72.15,72.55,0.55,YES
IMFA,2026-04-09,1367.1,1374.5,0.54,YES
NMDC,2026-04-10,85.07,85.4,0.39,YES
DHARMAJ,2026-04-08,259.89,260.25,0.14,YES
NESCO,2026-04-09,1124.1,1125.1,0.09,YES
GOENKA,2026-04-10,0.82,0.82,0.0,YES
NAKODA,2026-04-02,0.1,0.1,0.0,YES
MERCATOR,2026-04-02,0.85,0.85,0.0,YES
ERAINFRA,2026-04-01,1.5,1.5,0.0,YES
ALCHEM,2026-04-02,3.15,3.15,0.0,YES
UNITY,2026-04-02,0.85,0.85,0.0,YES
EROSMEDIA,2026-04-10,7.81,7.81,0.0,YES
GATECH,2026-04-10,0.49,0.49,0.0,YES
EASUNREYRL,2026-04-02,2.4,2.4,0.0,YES
JETAIRWAYS,2026-04-10,34.16,34.16,0.0,YES
NITINFIRE,2026-04-02,1.85,1.85,0.0,YES
VIDEOIND,2026-04-02,7.35,7.35,0.0,YES
HERCULES,2026-04-10,159.32,159.32,0.0,YES
MBECL,2026-04-10,65.4,65.4,0.0,YES
JAINSTUDIO,2026-04-02,2.4,2.4,0.0,YES
SILGO,2026-04-08,76.39,76.13,-0.34,YES
PALASHSECU,2026-04-08,92.42,91.85,-0.62,YES
AXISBANK,2026-04-10,1350.8,1342.1,-0.64,YES
STARPAPER,2026-04-10,140.37,139.44,-0.66,YES
VASWANI,2026-04-08,55.32,54.95,-0.67,YES
GENUSPAPER,2026-04-08,11.93,11.84,-0.75,YES
JKCEMENT,2026-04-09,5539.0,5495.5,-0.79,YES
APEX,2026-04-09,407.6,403.95,-0.9,YES
DWARKESH,2026-04-08,44.53,44.11,-0.94,YES
TITAN,2026-04-10,4505.0,4461.1,-0.97,YES
UJJIVANSFB,2026-04-10,60.3,59.6,-1.16,YES
IRB,2026-04-10,21.61,21.3,-1.43,YES
KPIGREEN,2026-04-10,411.1,404.3,-1.65,YES
GANECOS,2026-04-10,1045.75,1027.75,-1.72,YES
UNIVPHOTO,2026-04-09,364.45,357.95,-1.78,YES
MITTAL,2026-04-09,0.98,0.96,-2.04,YES
PFC,2026-04-10,434.9,425.8,-2.09,YES
MAHSEAMLES,2026-04-10,623.15,610.05,-2.1,YES
SHAREINDIA,2026-04-09,141.63,138.62,-2.13,YES
ALPA,2026-04-08,70.24,68.72,-2.16,YES
TIRUMALCHM,2026-04-10,188.24,184.05,-2.23,YES
AXISCADES,2026-04-10,1687.9,1648.8,-2.32,YES
NCC,2026-04-10,153.06,149.51,-2.32,YES
SPLPETRO,2026-04-10,745.45,725.0,-2.74,YES
INFOMEDIA,2026-04-08,5.85,5.69,-2.74,YES
URJA,2026-04-10,10.11,9.82,-2.87,YES
ASTRON,2026-04-08,4.1,3.98,-2.93,YES
SHANTIGEAR,2026-04-08,458.75,444.35,-3.14,YES
IEX,2026-04-10,127.97,123.94,-3.15,YES
INTENTECH,2026-04-08,102.78,99.5,-3.19,YES
ALLCARGO,2026-04-10,8.66,8.38,-3.23,YES
ISGEC,2026-04-09,952.95,920.45,-3.41,YES
HEXATRADEX,2026-04-08,164.03,158.1,-3.62,YES
SADBHAV,2026-04-08,9.3,8.96,-3.66,YES
AWHCL,2026-04-10,500.6,481.95,-3.73,YES
RANASUG,2026-04-10,12.97,12.47,-3.86,YES
THEINVEST,2026-04-08,102.66,98.69,-3.87,YES
CENTEXT,2026-04-09,20.39,19.6,-3.87,YES
PREMIER,2026-04-08,3.07,2.95,-3.91,YES
