Stock,Pick_Date,Price_At_Pick,Evaluation_Date,Price_At_Evaluation,Forward_Return_%,Pct_Above_50MA_At_Pick,Volume_Surge_Ratio,Avg_Daily_Turnover_Cr,Liquidity_Tier,ATR_14,Stop_Loss_Price,Stop_Loss_%,Suggested_Shares,Capital_Allocated_Rs,Scan_Date
M&M,2026-02-03,3527.9,2026-07-03,3136.9,-11.08,-3.0,2.21,904.56,Strong,105.33,3317.24,5.97,23,81141.7,2026-02-03
HINDPETRO,2026-02-03,450.7,2026-07-03,399.25,-11.42,-1.3,1.63,238.71,Strong,14.82,421.06,6.58,168,75717.6,2026-02-03
BLACKBUCK,2026-02-03,624.75,2026-07-03,549.0,-12.12,-1.9,1.62,45.75,Strong,30.17,564.41,9.66,82,51229.5,2026-02-03
CANBK,2026-02-03,147.34,2026-07-03,127.19,-13.68,-2.2,1.52,423.15,Strong,5.6,136.14,7.6,446,65713.64,2026-02-03
BPCL,2026-02-03,373.45,2026-07-03,308.15,-17.49,2.9,1.71,273.54,Strong,10.15,353.15,5.44,246,91868.7,2026-02-03
ESCORTS,2026-02-03,3600.8,2026-07-03,2964.9,-17.66,-2.3,1.69,36.06,Strong,125.43,3349.94,6.97,19,68415.2,2026-02-03
SAGILITY,2026-02-03,49.78,2026-07-03,40.98,-17.68,-2.3,1.8,155.45,Strong,2.14,45.51,8.58,1170,58242.6,2026-02-03
UPL,2026-02-03,739.8,2026-07-03,607.4,-17.9,-2.2,1.8,257.19,Strong,29.64,680.53,8.01,84,62143.2,2026-02-03
MPHASIS,2026-02-03,2819.3,2026-07-03,2296.6,-18.54,-0.7,1.57,145.72,Strong,95.83,2627.64,6.8,26,73301.8,2026-02-03
PERSISTENT,2026-02-03,6278.5,2026-07-03,4682.7,-25.42,-0.5,1.77,295.6,Strong,206.96,5864.57,6.59,12,75342.0,2026-02-03
LTM,2026-02-03,6044.0,2026-07-03,3757.8,-37.83,-0.9,1.45,214.05,Strong,184.46,5675.07,6.1,13,78572.0,2026-02-03
CHENNPETRO,2026-02-06,905.6,2026-07-03,1125.8,24.32,4.3,1.36,124.3,Strong,41.9,821.79,9.25,59,53430.4,2026-02-06
CCL,2026-02-06,990.55,2026-07-03,1173.0,18.42,2.9,1.47,26.06,Strong,37.93,914.7,7.66,65,64385.75,2026-02-06
ABCAPITAL,2026-02-06,347.75,2026-07-03,401.25,15.38,-1.4,1.44,181.65,Strong,13.56,320.62,7.8,184,63986.0,2026-02-06
MARICO,2026-02-06,752.75,2026-07-03,838.55,11.4,1.5,1.67,146.75,Strong,16.39,719.96,4.36,152,114418.0,2026-02-06
IKS,2026-02-06,1678.6,2026-07-03,1861.2,10.88,0.9,2.29,36.29,Strong,76.89,1524.81,9.16,32,53715.2,2026-02-06
TITAN,2026-02-06,4141.0,2026-07-03,4461.1,7.73,3.4,1.4,349.18,Strong,99.09,3942.81,4.79,25,103525.0,2026-02-06
LT,2026-02-06,4068.1,2026-07-03,4026.6,-1.02,1.7,1.63,847.86,Strong,87.09,3893.93,4.28,28,113906.8,2026-02-06
BEL,2026-02-06,429.65,2026-07-03,418.05,-2.7,4.9,2.14,979.72,Strong,15.55,398.55,7.24,160,68744.0,2026-02-06
TVSMOTOR,2026-02-06,3758.5,2026-07-03,3627.4,-3.49,2.2,1.57,295.92,Strong,113.25,3532.0,6.03,22,82687.0,2026-02-06
BHARTIARTL,2026-02-06,2038.4,2026-07-03,1910.4,-6.28,-1.0,1.66,1327.5,Strong,43.74,1950.91,4.29,57,116188.8,2026-02-06
BRITANNIA,2026-02-06,5911.0,2026-07-03,5379.0,-9.0,-0.5,1.57,207.78,Strong,138.21,5634.57,4.68,18,106398.0,2026-02-06
SBILIFE,2026-02-06,1996.7,2026-07-03,1788.7,-10.42,-1.6,2.13,236.08,Strong,52.33,1892.04,5.24,47,93844.9,2026-02-06
APOLLOTYRE,2026-02-06,504.2,2026-07-03,448.5,-11.05,-1.0,1.51,48.58,Strong,16.72,470.76,6.63,149,75125.8,2026-02-06
M&M,2026-02-06,3578.0,2026-07-03,3136.9,-12.33,-1.5,2.27,928.17,Strong,112.74,3352.53,6.3,22,78716.0,2026-02-06
CANBK,2026-02-06,147.31,2026-07-03,127.19,-13.66,-2.2,1.48,426.94,Strong,5.66,135.99,7.69,441,64963.71,2026-02-06
MUTHOOTFIN,2026-02-06,3704.2,2026-07-03,3054.9,-17.53,-3.0,1.78,230.94,Strong,180.66,3342.89,9.75,13,48154.6,2026-02-06
PERSISTENT,2026-02-06,5852.0,2026-07-03,4682.7,-19.98,-6.9,1.68,359.76,Strong,241.89,5368.21,8.27,10,58520.0,2026-02-06
