Stock,Reason
MAZDOCK,Not above 150MA/200MA
MCX,No confirmed retest yet
MEDANTA,MA alignment failed (50>150>200)
MEDPLUS,Not above 150MA/200MA
MEESHO,Insufficient history (143 rows)
METROPOLIS,MA alignment failed (50>150>200)
MFSL,Not above 150MA/200MA
MGL,Not above 150MA/200MA
MIDHANI,MA alignment failed (50>150>200)
MINDACORP,MA alignment failed (50>150>200)
MMTC,MA alignment failed (50>150>200)
MOIL,Not above 150MA/200MA
MOTHERSON,No fresh 50MA crossover in last 10 days
MOTILALOFS,MA alignment failed (50>150>200)
MPHASIS,Not above 150MA/200MA
MRF,Not above 150MA/200MA
MRPL,Not above 150MA/200MA
MSTCLTD,MA alignment failed (50>150>200)
MSUMI,Not above 150MA/200MA
MTARTECH,No confirmed retest yet
MUTHOOTFIN,Not above 150MA/200MA
NAM-INDIA,Too extended above 50MA (8.5%)
NATCOPHARM,Not enough distance above 52-week low
NATIONALUM,Not above 150MA/200MA
NAUKRI,Not above 150MA/200MA
NAVA,MA alignment failed (50>150>200)
NAVINFLUOR,No fresh 50MA crossover in last 10 days
NAZARA,MA alignment failed (50>150>200)
NBCC,Not above 150MA/200MA
NCC,Not above 150MA/200MA
NEOGEN,No fresh 50MA crossover in last 10 days
NESCO,Not above 150MA/200MA
NESTLEIND,No volume surge (0.98x)
NETWEB,No confirmed retest yet
NETWORK18,Not above 150MA/200MA
NEULANDLAB,MA alignment failed (50>150>200)
NEWGEN,Not above 150MA/200MA
NFL,Not above 150MA/200MA
NH,Not enough distance above 52-week low
NHPC,MA alignment failed (50>150>200)
NIACL,MA alignment failed (50>150>200)
NIVABUPA,No fresh 50MA crossover in last 10 days
NLCINDIA,No confirmed retest yet
NMDC,No confirmed retest yet
NSLNISP,MA alignment failed (50>150>200)
NTPC,Not above 150MA/200MA
NTPCGREEN,Not above 150MA/200MA
NUVAMA,Too extended above 50MA (20.9%)
NUVOCO,Not above 150MA/200MA
NYKAA,Too extended above 50MA (12.9%)
OBEROIRLTY,MA alignment failed (50>150>200)
OFSS,MA alignment failed (50>150>200)
OIL,Not above 150MA/200MA
OLAELEC,MA alignment failed (50>150>200)
OLECTRA,MA alignment failed (50>150>200)
ONESOURCE,Not above 150MA/200MA
ONGC,Not above 150MA/200MA
OPTIEMUS,MA alignment failed (50>150>200)
ORIENTCEM,Not above 150MA/200MA
ORKLAINDIA,Insufficient history (167 rows)
OSWALPUMPS,Not above 150MA/200MA
PAGEIND,MA alignment failed (50>150>200)
PARADEEP,Not above 150MA/200MA
PARAS,Too extended above 50MA (29.9%)
PARKHOSPS,Insufficient history (138 rows)
PATANJALI,Not above 150MA/200MA
PAYTM,MA alignment failed (50>150>200)
PCBL,MA alignment failed (50>150>200)
PCJEWELLER,Not above 150MA/200MA
PERSISTENT,Not above 150MA/200MA
PETRONET,MA alignment failed (50>150>200)
PFC,No confirmed retest yet
PFIZER,Not above 150MA/200MA
PFOCUS,Not above 150MA/200MA
PGEL,MA alignment failed (50>150>200)
PGIL,Too extended above 50MA (15.4%)
PHOENIXLTD,Too extended above 50MA (13.8%)
PICCADIL,Insufficient history (253 rows)
PIDILITIND,MA alignment failed (50>150>200)
PIIND,Not above 150MA/200MA
PINELABS,Insufficient history (161 rows)
PIRAMALFIN,Insufficient history (166 rows)
PNB,Not above 150MA/200MA
PNBHOUSING,No fresh 50MA crossover in last 10 days
PNCINFRA,MA alignment failed (50>150>200)
PNGJL,Not above 150MA/200MA
POLICYBZR,Not above 150MA/200MA
POLYCAB,No fresh 50MA crossover in last 10 days
POLYMED,MA alignment failed (50>150>200)
POONAWALLA,MA alignment failed (50>150>200)
POWERGRID,Not above 150MA/200MA
POWERINDIA,No confirmed retest yet
POWERMECH,MA alignment failed (50>150>200)
PPLPHARMA,MA alignment failed (50>150>200)
PRAJIND,MA alignment failed (50>150>200)
PREMIERENE,MA alignment failed (50>150>200)
PRESTIGE,MA alignment failed (50>150>200)
PRICOLLTD,MA alignment failed (50>150>200)
PRIVISCL,No fresh 50MA crossover in last 10 days
PRSMJOHNSN,Not above 150MA/200MA
PRUDENT,MA alignment failed (50>150>200)
PTC,Not above 150MA/200MA
PTCIL,Not above 150MA/200MA
PURVA,Not above 150MA/200MA
PVRINOX,Not above 150MA/200MA
PWL,Insufficient history (159 rows)
QPOWER,No confirmed retest yet
QUESS,MA alignment failed (50>150>200)
RADICO,Too extended above 50MA (14.0%)
RAILTEL,Not above 150MA/200MA
RAIN,Too extended above 50MA (15.2%)
RAINBOW,MA alignment failed (50>150>200)
RALLIS,Not above 150MA/200MA
RAMCOCEM,Not above 150MA/200MA
RATEGAIN,MA alignment failed (50>150>200)
RATNAMANI,No confirmed retest yet
RAYMONDLSL,Not above 150MA/200MA
RBA,MA alignment failed (50>150>200)
RBLBANK,No fresh 50MA crossover in last 10 days
RCF,Not above 150MA/200MA
RECLTD,MA alignment failed (50>150>200)
REDINGTON,MA alignment failed (50>150>200)
REDTAPE,MA alignment failed (50>150>200)
REFEX,MA alignment failed (50>150>200)
RELAXO,MA alignment failed (50>150>200)
RELIANCE,Not above 150MA/200MA
RELIGARE,MA alignment failed (50>150>200)
RENUKA,Not above 150MA/200MA
RHIM,Not above 150MA/200MA
RITES,MA alignment failed (50>150>200)
RKFORGE,MA alignment failed (50>150>200)
ROUTE,Not above 150MA/200MA
RPOWER,Not above 150MA/200MA
RRKABEL,No fresh 50MA crossover in last 10 days
RTNINDIA,Not above 150MA/200MA
RTNPOWER,Not above 150MA/200MA
RUBICON,Insufficient history (178 rows)
RVNL,Not above 150MA/200MA
SAATVIKGL,Insufficient history (193 rows)
SAFARI,Not above 150MA/200MA
SAGILITY,Not above 150MA/200MA
SAIL,No confirmed retest yet
SAILIFE,No fresh 50MA crossover in last 10 days
SAMHI,Not above 150MA/200MA
SAMMAANCAP,MA alignment failed (50>150>200)
SANDUMA,Not above 150MA/200MA
